equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk,sunk but raised by Russia
"Trucks, Vehicles, and Jeeps",Ural-4320,,the Soviet Union,51,,,,9.0,,1.0,,1.0,,40.0,,,
"Trucks, Vehicles, and Jeeps",Ural-4320,with ZU-23 AA gun,the Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Ural tanker,,the Soviet Union,15,,,,7.0,,2.0,,,,6.0,,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6,,the Soviet Union,22,,,,6.0,,1.0,,2.0,,13.0,,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-537,,the Soviet Union,3,,,,1.0,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",MAZ AC-8-500A Tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-5336,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-5337 fuel tanker,,the Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",MAZ TZ-500 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,,the United States,9,,,,,,,1.0,,,8.0,,,
"Trucks, Vehicles, and Jeeps",Jelcz P882 D53,,Poland,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Mercedes-Benz Unimog U1300L ambulance,,Germany,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,,the United Kingdom,3,,,,,,2.0,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Land Rover Defender,,the United Kingdom,5,,,,,,,,,,5.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,,the Soviet Union,13,,,,6.0,,,2.0,,,5.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-31514,,the Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-452 van,,the Soviet Union,34,,,,2.0,,1.0,1.0,,,30.0,,,
"Trucks, Vehicles, and Jeeps",Armoured Volkswagen Amarok pickup truck,,Germany,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, and Jeeps",Bogdan-2251 ambulance pickup truck,,Ukraine,16,,,,4.0,,,,,,12.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with KPV HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with M2 HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed tactical buggy,with ATGM,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Ford Ranger,,the United States,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, and Jeeps",Peugeot P4,,France,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",DAF YAD 4442 NT,,the Netherlands,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Iveco Magirus 90-16 AW 4x4,,Italy,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Iveco VM90,,Italy,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Downgraded Mowag Eagle II,,Switzerland,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Unknown truck,,Ukraine,69,,,,4.0,,2.0,1.0,,,62.0,,,
"Trucks, Vehicles, and Jeeps",Unknown truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Unknown vehicle,,Ukraine,41,,,,,,,,,,41.0,,,
